"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","test_question_and_answer[7]","tests","Wed Jun 04 13:21:46 MSK 2025","passed","Wed Jun 04 13:21:46 MSK 2025","TestMainPage","test_question_and_answer","",""
"","305","test_question_and_answer[1]","tests","Wed Jun 04 13:21:45 MSK 2025","passed","Wed Jun 04 13:21:45 MSK 2025","TestMainPage","test_question_and_answer","",""
"","274","test_question_and_answer[0]","tests","Wed Jun 04 13:21:44 MSK 2025","passed","Wed Jun 04 13:21:44 MSK 2025","TestMainPage","test_question_and_answer","",""
"","289","test_question_and_answer[3]","tests","Wed Jun 04 13:21:44 MSK 2025","passed","Wed Jun 04 13:21:44 MSK 2025","TestMainPage","test_question_and_answer","",""
"","294","test_question_and_answer[2]","tests","Wed Jun 04 13:21:43 MSK 2025","passed","Wed Jun 04 13:21:43 MSK 2025","TestMainPage","test_question_and_answer","",""
"","332","test_question_and_answer[4]","tests","Wed Jun 04 13:21:42 MSK 2025","passed","Wed Jun 04 13:21:42 MSK 2025","TestMainPage","test_question_and_answer","",""
"","4933","test_order_scooter[2]","tests","Wed Jun 04 13:21:44 MSK 2025","passed","Wed Jun 04 13:21:48 MSK 2025","TestOrderPage","test_order_scooter","",""
"","4932","test_order_scooter[1]","tests","Wed Jun 04 13:21:45 MSK 2025","passed","Wed Jun 04 13:21:49 MSK 2025","TestOrderPage","test_order_scooter","",""
"","323","test_question_and_answer[5]","tests","Wed Jun 04 13:21:43 MSK 2025","passed","Wed Jun 04 13:21:43 MSK 2025","TestMainPage","test_question_and_answer","",""
"","277","test_question_and_answer[6]","tests","Wed Jun 04 13:21:46 MSK 2025","passed","Wed Jun 04 13:21:46 MSK 2025","TestMainPage","test_question_and_answer","",""
